"Date_reported","Country_code","Country","WHO_region","New_cases","New_deaths"
2020-03-13,"AD","Andorra","EURO",1,0
2020-03-14,"AD","Andorra","EURO",0,0
2020-03-15,"AD","Andorra","EURO",0,0
2020-03-16,"AD","Andorra","EURO",12,0
2020-03-17,"AD","Andorra","EURO",2,0
2020-03-18,"AD","Andorra","EURO",23,0
2020-03-19,"AD","Andorra","EURO",36,0
2020-03-20,"AD","Andorra","EURO",0,0
2020-03-21,"AD","Andorra","EURO",13,0
2020-03-22,"AD","Andorra","EURO",0,0
2020-03-23,"AD","Andorra","EURO",25,0
2020-03-24,"AD","Andorra","EURO",51,1
2020-03-25,"AD","Andorra","EURO",24,0
2020-03-26,"AD","Andorra","EURO",25,2
2020-03-27,"AD","Andorra","EURO",18,0
2020-03-28,"AD","Andorra","EURO",58,0
2020-03-29,"AD","Andorra","EURO",32,1
2020-03-30,"AD","Andorra","EURO",20,2
2020-03-31,"AD","Andorra","EURO",29,2
2020-04-01,"AD","Andorra","EURO",6,4
2020-04-02,"AD","Andorra","EURO",20,1
2020-04-03,"AD","Andorra","EURO",33,2
2020-04-04,"AD","Andorra","EURO",13,1
2020-04-05,"AD","Andorra","EURO",24,1
2020-04-06,"AD","Andorra","EURO",57,0
2020-04-07,"AD","Andorra","EURO",17,4
2020-04-08,"AD","Andorra","EURO",11,1
2020-04-09,"AD","Andorra","EURO",15,2
2020-04-10,"AD","Andorra","EURO",23,2
2020-04-11,"AD","Andorra","EURO",13,0
2020-04-12,"AD","Andorra","EURO",20,2
2020-04-13,"AD","Andorra","EURO",17,1
2020-04-14,"AD","Andorra","EURO",12,0
2020-04-15,"AD","Andorra","EURO",8,2
2020-04-16,"AD","Andorra","EURO",14,2
2020-04-17,"AD","Andorra","EURO",21,1
2020-04-18,"AD","Andorra","EURO",9,1
2020-04-19,"AD","Andorra","EURO",1,0
2020-04-20,"AD","Andorra","EURO",13,1
2020-04-21,"AD","Andorra","EURO",1,0
2020-04-22,"AD","Andorra","EURO",5,1
2020-04-23,"AD","Andorra","EURO",1,0
2020-04-24,"AD","Andorra","EURO",2,1
2020-04-25,"AD","Andorra","EURO",7,2
2020-04-26,"AD","Andorra","EURO",5,0
2020-04-27,"AD","Andorra","EURO",2,0
2020-04-28,"AD","Andorra","EURO",1,0
2020-04-29,"AD","Andorra","EURO",1,1
2020-04-30,"AD","Andorra","EURO",2,0
2020-05-01,"AD","Andorra","EURO",2,1
2020-05-02,"AD","Andorra","EURO",0,1
2020-05-03,"AD","Andorra","EURO",1,1
2020-05-04,"AD","Andorra","EURO",2,1
2020-05-05,"AD","Andorra","EURO",2,0
2020-05-06,"AD","Andorra","EURO",0,1
2020-05-07,"AD","Andorra","EURO",1,1
2020-05-08,"AD","Andorra","EURO",0,0
2020-05-09,"AD","Andorra","EURO",2,0
2020-05-10,"AD","Andorra","EURO",0,1
2020-05-11,"AD","Andorra","EURO",2,0
2020-05-12,"AD","Andorra","EURO",0,0
2020-05-13,"AD","Andorra","EURO",3,0
2020-05-14,"AD","Andorra","EURO",2,1
2020-05-15,"AD","Andorra","EURO",0,0
2020-05-16,"AD","Andorra","EURO",0,0
2020-05-17,"AD","Andorra","EURO",0,2
2020-05-18,"AD","Andorra","EURO",0,0
2020-05-19,"AD","Andorra","EURO",0,0
2020-05-20,"AD","Andorra","EURO",0,0
2020-05-21,"AD","Andorra","EURO",1,0
2020-05-22,"AD","Andorra","EURO",0,0
2020-05-23,"AD","Andorra","EURO",0,0
2020-05-24,"AD","Andorra","EURO",1,0
2020-05-25,"AD","Andorra","EURO",0,0
2020-05-26,"AD","Andorra","EURO",0,0
2020-05-27,"AD","Andorra","EURO",0,0
2020-05-28,"AD","Andorra","EURO",0,0
2020-05-29,"AD","Andorra","EURO",1,0
2020-05-30,"AD","Andorra","EURO",0,0
2020-05-31,"AD","Andorra","EURO",0,0
2020-06-01,"AD","Andorra","EURO",0,0
2020-06-02,"AD","Andorra","EURO",1,0
2020-06-03,"AD","Andorra","EURO",79,0
2020-06-04,"AD","Andorra","EURO",7,0
2020-06-05,"AD","Andorra","EURO",1,0
2020-06-06,"AD","Andorra","EURO",0,0
2020-06-07,"AD","Andorra","EURO",0,0
2020-06-08,"AD","Andorra","EURO",0,0
2020-06-09,"AD","Andorra","EURO",0,0
2020-06-10,"AD","Andorra","EURO",0,0
2020-06-11,"AD","Andorra","EURO",0,0
2020-06-12,"AD","Andorra","EURO",0,0
2020-06-13,"AD","Andorra","EURO",1,0
2020-06-14,"AD","Andorra","EURO",0,0
2020-06-15,"AD","Andorra","EURO",0,0
2020-06-16,"AD","Andorra","EURO",0,0
2020-06-17,"AD","Andorra","EURO",1,1
2020-06-18,"AD","Andorra","EURO",0,0
2020-06-19,"AD","Andorra","EURO",1,0
2020-06-20,"AD","Andorra","EURO",0,0
2020-06-21,"AD","Andorra","EURO",0,0
2020-06-22,"AD","Andorra","EURO",0,0
2020-06-23,"AD","Andorra","EURO",0,0
2020-03-21,"AO","Angola","AFRO",2,0
2020-03-22,"AO","Angola","AFRO",0,0
2020-03-23,"AO","Angola","AFRO",0,0
2020-03-24,"AO","Angola","AFRO",0,0
2020-03-25,"AO","Angola","AFRO",0,0
2020-03-26,"AO","Angola","AFRO",0,0
2020-03-27,"AO","Angola","AFRO",0,0
2020-03-28,"AO","Angola","AFRO",0,0
2020-03-29,"AO","Angola","AFRO",0,0
2020-03-30,"AO","Angola","AFRO",0,0
2020-03-31,"AO","Angola","AFRO",5,1
2020-04-01,"AO","Angola","AFRO",0,1
2020-04-02,"AO","Angola","AFRO",1,0
2020-04-03,"AO","Angola","AFRO",0,0
2020-04-04,"AO","Angola","AFRO",2,0
2020-04-05,"AO","Angola","AFRO",0,0
2020-04-06,"AO","Angola","AFRO",4,0
2020-04-07,"AO","Angola","AFRO",2,0
2020-04-08,"AO","Angola","AFRO",1,0
2020-04-09,"AO","Angola","AFRO",2,0
2020-04-10,"AO","Angola","AFRO",0,0
2020-04-11,"AO","Angola","AFRO",0,0
2020-04-12,"AO","Angola","AFRO",0,0
2020-04-13,"AO","Angola","AFRO",0,0
2020-04-14,"AO","Angola","AFRO",0,0
2020-04-15,"AO","Angola","AFRO",0,0
2020-04-16,"AO","Angola","AFRO",0,0
2020-04-17,"AO","Angola","AFRO",0,0
2020-04-18,"AO","Angola","AFRO",0,0
2020-04-19,"AO","Angola","AFRO",0,0
2020-04-20,"AO","Angola","AFRO",0,0
2020-04-21,"AO","Angola","AFRO",5,0
2020-04-22,"AO","Angola","AFRO",0,0
2020-04-23,"AO","Angola","AFRO",0,0
2020-04-24,"AO","Angola","AFRO",1,0
2020-04-25,"AO","Angola","AFRO",0,0
2020-04-26,"AO","Angola","AFRO",0,0
2020-04-27,"AO","Angola","AFRO",1,0
2020-04-28,"AO","Angola","AFRO",1,0
2020-04-29,"AO","Angola","AFRO",0,0
2020-04-30,"AO","Angola","AFRO",0,0
2020-05-01,"AO","Angola","AFRO",0,0
2020-05-02,"AO","Angola","AFRO",2,0
2020-05-03,"AO","Angola","AFRO",6,0
2020-05-04,"AO","Angola","AFRO",0,0
2020-05-05,"AO","Angola","AFRO",0,0
2020-05-06,"AO","Angola","AFRO",1,0
2020-05-07,"AO","Angola","AFRO",0,0
2020-05-08,"AO","Angola","AFRO",0,0
2020-05-09,"AO","Angola","AFRO",0,0
2020-05-10,"AO","Angola","AFRO",7,0
2020-05-11,"AO","Angola","AFRO",2,0
2020-05-12,"AO","Angola","AFRO",0,0
2020-05-13,"AO","Angola","AFRO",0,0
2020-05-14,"AO","Angola","AFRO",0,0
2020-05-15,"AO","Angola","AFRO",3,0
2020-05-16,"AO","Angola","AFRO",0,0
2020-05-17,"AO","Angola","AFRO",0,0
2020-05-18,"AO","Angola","AFRO",0,0
2020-05-19,"AO","Angola","AFRO",2,0
2020-05-20,"AO","Angola","AFRO",2,1
2020-05-21,"AO","Angola","AFRO",6,0
2020-05-22,"AO","Angola","AFRO",2,0
2020-05-23,"AO","Angola","AFRO",0,0
2020-05-24,"AO","Angola","AFRO",0,0
2020-05-25,"AO","Angola","AFRO",9,1
2020-05-26,"AO","Angola","AFRO",0,0
2020-05-27,"AO","Angola","AFRO",2,0
2020-05-28,"AO","Angola","AFRO",0,0
2020-05-29,"AO","Angola","AFRO",2,0
2020-05-30,"AO","Angola","AFRO",8,0
2020-05-31,"AO","Angola","AFRO",3,0
2020-06-01,"AO","Angola","AFRO",2,0
2020-06-02,"AO","Angola","AFRO",0,0
2020-06-03,"AO","Angola","AFRO",0,0
2020-06-04,"AO","Angola","AFRO",0,0
2020-06-05,"AO","Angola","AFRO",0,0
2020-06-06,"AO","Angola","AFRO",0,0
2020-06-07,"AO","Angola","AFRO",0,0
2020-06-08,"AO","Angola","AFRO",5,0
2020-06-09,"AO","Angola","AFRO",1,0
2020-06-10,"AO","Angola","AFRO",4,0
2020-06-11,"AO","Angola","AFRO",17,0
2020-06-12,"AO","Angola","AFRO",5,1
2020-06-13,"AO","Angola","AFRO",12,0
2020-06-14,"AO","Angola","AFRO",8,1
2020-06-15,"AO","Angola","AFRO",2,0
2020-06-16,"AO","Angola","AFRO",2,0
2020-06-17,"AO","Angola","AFRO",0,0
2020-06-18,"AO","Angola","AFRO",13,1
2020-06-19,"AO","Angola","AFRO",11,1
2020-06-20,"AO","Angola","AFRO",0,0
2020-06-21,"AO","Angola","AFRO",6,0
2020-06-22,"AO","Angola","AFRO",4,1
2020-06-23,"AO","Angola","AFRO",7,0
